,Tweets,Label
19,capek bgt,0
20,helo,0
21,: MASAK PAKE RUMUS FISIKA &amp; MATEMATIKA! Ft. Jessica Jane  selamat menonton! Seru banget jiwa ,0
22,ada yang baru tapi bukan kamu,0
23,MASAK PAKE RUMUS FISIKA &amp; MATEMATIKA! Ft. Jessica Jane  selamat menonton! Seru banget jiwa ,0
24,Adem... terharu banget ,0
25," terharu banget :"") makasih banyak pak!",0
26,selamat malam natal~,0
27,oh ternyata begini rasanya,0
28,☺️,0
29,@_initari: Boljug lah ini humornya wkwkwk,0
30,  😂😂😂 mari taruhan pasti umurnya antara 10-16 tahun,0
31,Merry Xmas 2020 ,0
32,"_316 Setelah ngucapin merry christmas suruh coli, emang anda anjing",0
33,Katanya kalo kebangun jam segini artinya they say when you wake up at this hour,0
34,"Sedih karena di 25 desember ini tidak semeriah tahun sebelumnya, tapi senang karna bisa merayakan bersama keluarga

Sungguh ✨Bittersweet by Natal✨",0
35,I can’t believe it’s been a year ,0
36,Kayaknya dia berusaha untuk hack dengan cara ini,0
37,"Pas banget gw baru request for verification, terus dapet dm dari ini. Hati2 ya semuanya, terutama para creator di twitter. Ini akunnya  ",0
38,Apakah disini ada yang punya kindle dan setiap mau buka ebook dia ngerestart? I need help :(,0
39,Seneng banget mbak yang kerja di rumah sampai sekarang masih mengucapkan selamat natal walaupun lingkungannya banyak yang sudah tidak 🥺 tolerance is beautiful,0
40,Merry christmas everyoneeee!,0
41,"Tadi pagi gw mimpi selingkuh, terus gw malah cerita ke pacar. Soalnya mimpi buruk banget bangun2 deg-degan. I know she’s the one, because I can tell her literally everything and she’ll choose ✨logic✨ ",0
42, Sya jga takut kepegang mas anang,0
43,"Fitur Favorit dari Galaxy Note20 apalagi klo bukan Multi Camera + Pro grade video nya yang sampai 8K powerful bgt! buat kalian yg mau ganti ke Galaxy Note20,  lagi ada powerful package tuh! bisa dapetin GalaxyBudsLive atau klik ini deh
",0
44, Bahu jalan: ,0
45,Laperr blm makan malem,0
46,"Hari ini lumayan lelah, pagi-sore kelas, malemnya ada kegiatan penting buat besok😙 Hehe tapi seneng bgt bisa produktif!!",0
47,8  WKWKWKKW 🤣🤣🤣,0
48, IHHH WKWK sebelll tapi ngakak😂😂😂 gpp deh aku rela kok jadi guguknya🐶,0
49,_ Okeeeii thank you☺️,0
50," Hihi aku suka yg inii! 💖
Boleh aku post di ig gak? Nanti kreditnya aku cantumin di fotonyaa",0
51,_ Baguus! Yg foto pertama &amp; kedua boleh aku post di ig nggak?? hehe nanti nama twittermu aku cantumin di fotonyaa,0
52,"Sayang bgt sama temen2 followers aku di twitter/instagram, jago ngedit  semua😂 love you supporter halu ku💖",0
53,WKWKWK ngakak liat foto2 editan foto sama seo joon😂😂😂 makasih banyakkk hahaha,0
54, Makasih yaaa!!😍,0
55,"Aku 2 minggu lagi udh mau masuk libur musim dingin &amp; tahun baru yey!! Habis itu masuk lagi kuliah selama 2 minggu, trs udah deh libur semester/libur musim semi selama 2.5 bulan😍",0
56,"Btw mulai januari aku bakal rajin ngonten2 lagii, sekarang aku &amp; editor aku dua2nya lagi masa uas, jadinya lelet hehe mohon pengertiannyaaa",0
57,"Maaf baru ngabarin, laptop aku udh bener guys!!! Waktu itu langsung dibenerin papa, akhirnya sembuh &amp; langsung lanjut nugas &amp; alhamdulillah deadlinenya keburu☺️",0
58,Itu foto semalem sih 30 menit sebelum tau laptopku bakal begitu wkwk,0
59,Smile~~~✌🏻 ,0
60,Malming terakhir di 2020 kalian sama siapa? ,0
61,"Lumayan takut sama 2021, tapi ya gimana lagi? Mau gak mau harus semangat uwu &lt;3",0
62,"Ayo ngobrol di  sebentar lagi. Bareng sama ci vini juga, see you! &lt;3",0
63,: Sudah siap untuk kembali ke sekolah? ,0
64,_ Maloe. Terima kasih banyak btw. 🙈,0
65,   CAPEK KETAWA BGT QKEKAKAKKAKA,0
66, YAWLA PAMER BGT MINTA DITABOK :(,0
67,5ia ,0
68,Maap2 ajanih pengen ngeblock banget 🥲 ,0
69, MAU TUKER KADO JG DONG ANDKDNWJNSHWHWJWKSMWHZ,0
70,Kok orang-orang pada uwu ya ,0
71,"1ny99: stream “Isi Hati” sblm dan setelah tidur 🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️ _ 

",0
72,_ @/justanothermisell,0
73,"Giliran udah bikin, bingung mau post apa.... Gimana sih......... ",0
74,Kan ,0
75,Heh benk yannnnn zzzzzzzzz,0
76,Mejuah-juah artinya apa yaa,0
77,"Di Batam, byk supir angkot itu dari Medan, dan mereka dikenal ngeri nyetirnya. Ternyata di tanah Batak, nyetirnya lebih mantaaaaappp wkwkwkwkwkwkwk",0
78,Have a great Saturday yaa semuanya 🙌,0
79,Jujur I feel bad for not uploading videos di hari2 libur kyk gini :( eyem sorry,0
80,Udah boker belummm,0
81,Yuk bisa yuk,0
82,Widididiw,0
83,WOAKWOAKWOAKW NGAWUR ,0
84,Merry Christmas 🎄🎁❤️ ,0
85," Biar makin tabah benk, gimana? ",0
86, WOKE SIPPPP,0
87,Aku mau dia = Kulo badhe piyambakipun ?,0
88,"Jadi kalo dibandingin sama ngoko,
Piyambakipun = de’e
Piyambakan = dewe/dewean
Gitu ta?",0
89,  Aku jg mau teh pucuk benk,0
90,"""Maen lu kurang jauh""

Bodo amat, enakan juga rebahan",0
91,Lg apa,0
92,   emm (3),0
93, Ditunggu,0
94, Sampe jam 7 malem,0
95,Mood gampang banget berantakan kayak rencana hidup,0
96,Paling susah emang nerima kekurangan sendiri daripada kekurangan orang lain,0
97,  Abis berapa belanjanya,0
98,3  Lah napa malu dah,0
99,Kangen.,0
100,  Ngga mampir ke sekenskuy sih 😒,0
101,"Mau ngumpulin orang-orang yang belom pernah menang giveaway merapat

Langsung aja nih ikutan SeriusGiveaway dari , hadiah utamanya PS 5 tuh, kalo menang ngga usah pake filter IG segala biar ngerasa punya, jangan lupa follow dulu akunnya 👇 ",0
102,"Duit abis karna

- Beli pakaian ❌
- Beli makanan ❌
- Ngga tau buat apaan ✅",0
103,"Selera tinggi, salary rendah.",0
104,  Iya,0
105,"Kita harus terus bersatu, jangan sampai di adu domba. Mari kita isi kemerdekaan dengan karya-karya anak bangsa. 

Dirgahayu Republik Indonesia ke-75!!
Merdeka...!!
Merdeka...!!
Merdeka...!! ",0
106,Kemerdekaan kita diraih dengan pengorbanan besar oleh para pendahulu kita. Perayaan kemerdekaan harus menjadi pengingat bahwa banyak pihak yang tidak ingin kita merdeka. HUTRI75,0
107,Persatuan harus menjadi kekuatan utama kita sebagai bangsa agar dapat terwujud cita-cita kemerdekaan Republik Indonesia. Jangan sampai kita diadu domba kembali. Jangan mau kita dibuat untuk selalu berselisih paham sehingga lupa untuk membangun. HUTRI75,0
108,"""Perjuanganku lebih mudah karena melawan penjajah, namun perjuangan kalian akan lebih sulit karena melawan bangsa sendiri."" 

Pesan Bung Karno yang harus selalu kita ingat sebagai generasi penerus bangsa. Generasi yang mengisi kemerdekaan agar rakyat bisa tersenyum.
HUTRI75",0
109,"Assalamu’alaikum Wr. Wb. 

Selamat merayakan Hari Raya Idul Adha 10 Dzulhijah 1441 H. Semoga kita bisa meneladani ketaatan, ketaqwaan Nabi Ibrahim AS dan Nabi Ismail AS serta ibadah kita diterima oleh Allah SWT.

Salam hormat saya untuk keluarga sahabat sekalian. ",0
110,"Kementerian Pertahanan akan terus mendukung upaya peningkatan produksi alutsista dalam negeri, serta mendukung program penelitian dan pengembangan, agar nantinya seluruh hasil produksi dalam negeri dapat mandiri secara utuh. ",0
111,Pada sore hari ini saya dan tim dari PT. PINDAD mencoba kendaraan Rantis 4X4 yang kami beri nama Maung. ,0
112,"Perjuangan buruh melalui parlemen, beberapa anggota dewan Partai Gerindra berasal dari kalangan buruh. Semoga Allah SWT selalu memberikan perlindungan dan bimbingan kepada mereka dalam memperjuangan hak-hak teman buruhnya.

Buruh tulang punggung bangsa.

Selamat Hari Buruh!",0
113,"Pandemik Corona-19 sangat berdampak kepada kehidupan ekonomi para buruh. Tapi saya yakin, teman-teman buruh akan kuat bersatu dalam melewati pandemik Covid-19.",0
114,"Sejarah panjang perjuangan buruh terus berlangsung tanpa kenal menyerah. Perjuangan untuk mendapatkan penghidupan yang layak, kepastian masa depan bagi dirinya dan keluarganya. Buruh bergerak tanpa kenal lelah untuk menopang kebutuhan bangsa.

",0
115,"Selamat menunaikan ibadah puasa ramadan bagi umat muslim, mohon maaf lahir dan batin. ",0
116, Bisa tolong kasih informasi untuk dimana?  mohon bantuan untuk di monitor.,0
117,@_asprasetyo Terima kasih koreksinya.,0
118,_s182 Sejak muda saya mendedikasikan hidup saya untuk bangsa dan negara saya. Menurut saya lebih baik berperan aktif membela kepentingan rakyat dari pada hanya menghujat.,0
119,"Bersama kita hadapi keadaan yang paling buruk sekalipun, dengan ridho Tuhan Yang Maha Kuasa, Allah Subhanahu Wa Ta'ala. Kita bersama-sama akan keluar dari kemelut ini, keluar dari tantangan ini, keluar dari krisis ini, dengan semakin kuat dan semakin bahagia. Aamiin.",0
120,"Urusan perasaan, kalau enggak bisa dibuat gamblang, ujungnya bakal gambling",0
121,"Sengaja bikin channel Youtube baru cuma untuk bikin video-video enggak jelas. Yang ini judulnya, “Teman tapi Kayak Setan.” Klik link-nya ih kamu kamu

 ",0
122, 👀👀,0
123, Apanya yang kecil?,0
124,"Waktu kecil, sering ngerasa capek karena diatur orang dewasa. Sekarang, sering ngerasa capek jadi orang dewasa",0
125, Admin shift pagi emang susah dikasih tau,0
126," Tetot salah. Kalau nikah pake surat, kalau kawin pake urat. Wkwk",0
127, Harus dikasih tebak-tebakan dulu. Apa bedanya nikah dengan kawin?,0
128, Membaik setiap harinya 🥰,0
129,"Menjadi selebtwit itu fana,
yang abadi aib sirkel retweet-nya",0
130, Kirain mau pantun,0
131, You too Bro,0
132,Kalau ngomong jangan ketinggian. Langit terlalu luas untuk kamu yang serba terbatas,0
133, 👀👀,0
134,Kamu bukan jelek. Kamu cuma belum menemukan penikmat yang tepat aja,0
135,... demi meningkatkan kembali kepercayaan para wisatawan agar usaha-usaha masyakarat di sekitar tempat wisata dapat menggeliat dan lapangan kerja tercipta.,0
136,"Untuk itu, kami ingin memastikan protokol CHSE (Cleanliness, Health, Safety, &amp; Environmental) atau K4 (Kebersihan, Kesehatan, Keselamatan, &amp; Keberlanjutan Lingkungan) dapat terimplementasi dengan baik...",0
137,"Para Kepala Dinas sebagai garda depan di sektor pariwisata &amp; ekonomi kreatif sepakat bahwa kita harus GERCEP (Gerak Cepat), GEBER (Gerak Bersama), dan GASPOL dalam mengakselerasi pemulihan pariwisata kita. Karena jutaan masyarakat menggantungkan lapangan kerjanya di sektor ini",0
138,"Terima kasih telah meluangkan waktunya di hari libur ini. Kalau di sektor pariwisata biasanya tanggal merah membawa berkah. Saya senang mendapat laporan bahwa di libur natal dan tahun baru akhir tahun ini, terjadi peningkatan jumlah wisatawan nusantara.",0
139,"Ingin bergerak cepat, hari ini saya melakukan rapat secara virtual dengan para Kepala Dinas yang membidangi Pariwisata dan Ekonomi Kreatif di lebih dari 200 wilayah, baik di tingkat Provinsi maupun Kabupaten/Kota. ",0
140,"Kontribusi sektor pariwisata dan industri kreatif terhadap penciptaan lapangan kerja sangat besar. Kita optimis seiring dengan teratasinya pandemi covid-19, sektor ini pasti segera bangkit dan lapangan kerja kembali terbuka luas. ",0
141,"Terakhir, kolaborasi. Kita harus menggandeng semua pihak. Jutaan lapangan pekerjaan terdampak di sektor pariwisata dan ekonomi kreatif. Ini yang harus kita perjuangkan sehingga lapangan kerja kembali terbuka luas, dan penghasilan masyarakat kembali meningkat.",0
142,"Kedua, adaptasi. Kita harus mampu beradaptasi dengan keadaan pandemi covid-19. Salah satunya dengan terus meningkatkan penerapan ‘CHSE' atau Cleanliness (Kebersihan), Health (Kesehatan), Safety (Keamanan), dan Environment (Ramah lingkungan).",0
143,"Pertama adalah inovasi. Harus ada perubahan yang mendasar saat kita mengembangkan 5 destinasi super prioritas. Inovasi itu harus dilakukan dari segi infrastruktur, budaya, kuliner, fashion, dan segala hal yang berkaitan dengan pariwisata dan ekonomi kreatif.",0
144,Dalam rapat ini saya menyampaikan tiga hal untuk mempercepat pemulihan pariwisata dan ekonomi kreatif.,0
145,"Tanpa berlama-lama, rapat pertama dengan Wakil Menteri, Sekretaris Kementerian, Staf Ahli dan Deputi di Kemenparekraf langsung kita lakukan seusai prosesi serah terima jabatan. ",0
146,"Mohon doa, dukungan, dan juga kolaborasi dari seluruh masyarakat agar kami di Kementerian ini dapat menjalankan tugas sebaik-baiknya dalam membangkitkan sektor pariwisata dan ekonomi kreatif agar peluang usaha dan lapangan kerja semakin banyak tercipta.",0
147,"Hari ini, baru saja saya menerima amanah, sebuah tanggung jawab besar dari Bapak Presiden Joko Widodo untuk meneruskan perjuangan sahabat baik saya Mas Wishnutama untuk memimpin Kementerian Pariwisata &amp; Ekonomi Kreatif. ",0
148,"Buat kalian semuanya, tolong jaga kesehatan. Patuhi protokol kesehatan dengan baik. Pakai masker dan rajin mencuci tangan.",0
149,"Selamat pagi. Alhamdulillah kemarin saya sudah melakukan tes swab PCR yang kesekian kalinya untuk membuktikan bahwa saya sudah benar2 sembuh dari covid-19. Setelah kurang lebih 2 minggu beristirahat, kini saya sudah bisa melakukan aktivitas seperti biasa, salah satunya lari pagi. ",0
150,"Ho, ho, ho, Merry Christmas! Today, we wish you warm moisturized hands to hold a cup of your favorite winter drink, well-nourished lips for kisses under the mistletoe, and health for you and your loved ones. What are some of the JAFRA goodies you found under the tree? ",1
151,"There's snow place like home! This Christmas eve, we hope you're safe at home relishing tomorrow's big day. Don't forget to leave Kris Kringle milk and cookies before you go to bed! ",1
152,"A bundle of hydration in every bottle. Our Royal Almond Rich Body Oil with Vitamin E pampers and moisturizes the skin leaving it soft, smooth and fresh. Connect with your JAFRA Independent Consultant or shop online:  ",1
153,"Our eyeliner is making headlines! Check out the JAFRA Beauty Liquid Eyeliner Pen featured in this week's Woman's World Magazine for a youthful, old-Hollywood look. Join the trend and add some cat-eye flare to your eyes! ",1
154,": “If I can’t find something nice to wear I’M NOT GOING ! “ -Mr. Grinch 💚🎄

Eyeshadow:  25m
Lashes &amp; Highlight…",1
155,: Gracias    Son lo Máximo!!!!!!    Muchas felicidades !!!!! ,1
156,"We love being a part of special life moments like this one. This holiday season, don't forget to share your special moments with us💕 

regram
.artistry ",1
157,"You mean snow much to us! 

Check out our JAFRA ROYAL skin care and makeup line that carries our most potent ingredient of all, Royal Jelly RJ×. Shop:  ",1
158,Our JAFRA Beauty Glam Night Out limited-edition liquid matte lipstick has a creamy formula that provides pigmented shine and matte perfection. Connect with your JAFRA Independent Consultant or shop online:  ,1
159,"Quench winter dryness with the help of JAFRA ROYAL Boost. This ritual is rich in superfoods, including matcha, watermelon, and citrus fruits. It's a soothing hydration for dry &amp; sensitive skin, powered by Royal Jelly RJ×! Shop:  ",1
160,"Let it snow with this holiday offer! Our JAFRA Beauty Lip Trio lets you choose one lip liner or definer, lip gloss and lipstick for $24. PLUS, you'll receive a FREE Let it snow clear gift box. Connect with your JAFRA Independent Consultant or shop online:  ",1
161,A royal treat! Lavish their skin with nourishing moisture from this Royal Almond trio. Get a FREE rose gold coin purse for every trio purchase this month! Connect with your JAFRA Independent Consultant or shop online:  ,1
162, Cranberry Crush!🥰,1
163, 😍😍😍,1
164,JAFRA goodies tucked under the Christmas tree. Our JAFRA Beauty Collection has all the right products for the makeup artist in the family. They also make good last-minute stocking stuffers! Connect with your JAFRA Independent Consultant or shop online:  ,1
165,"Goodnight BigNice Family

3 Giveaways Open for You to Win

New Giveaways Tomorrow 123",1
166,Winner 14 🎉🥳,1
167,": 🎁 $25 Giveaway 🎁

💸 Retweet + Reply 123 + Like 💸

💥 Follow  + Me 💥

⏰ Ends When I Wake Up ⏰",1
168,": 🎁 $25 Giveaway 🎁

💸 Retweet + Reply 123 + Like 💸

💥 Follow _gem15 + Me 💥

⏰ Ends When I Wake Up ⏰",1
169,": 🎁 $50 BigNice Giveaway 🎁

💸 Retweet + Reply 123 + Like 💸

⏰ Ends in 24hrs ⏰",1
170,"🎁 $25 Giveaway 🎁

💸 Retweet + Reply 123 + Like 💸

💥 Follow  + Me 💥

⏰ Ends When I Wake Up ⏰",1
171,Like This Tweet and Next Tweet is a Giveaway,1
172,Winner  🎉🥳,1
173, Thank You 😎,1
174, Thank You ♥️,1
175,"🎁 $25 Giveaway 🎁

💸 Retweet + Reply 123 + Like 💸

💥 Follow _gem15 + Me 💥

⏰ Ends When I Wake Up ⏰",1
176,Like This Tweet and Next Tweet is a New BigNice Giveaway,1
177,Winner 11 🎉🥳,1
178,I mean New Giveaways I am going to post soon :),1
179,123 Got 2 More Giveaways Coming Up Tonight!,1
180,12. viu 1 tahun private (req acc) ,1
181,11. viu 1 bulan ,1
182,3ry sini kak aku bsa dm ajaa,1
183,"❗OPEN ORDER❗
apps premium
📌Netflix, Spotify, Viu, YouTube, NordVpn, Disney+ Hotstar, dll✨

✓legal
✓trusted
✓full garansi

payment 💸 : ovo, dana, gopay, shopeepay, bca

t. jual netflix antihold spotify viu youtube iflix zonaba zonajajan zonauang ",1
184,"❗OPEN ORDER❗
apps premium
📌Netflix, Spotify, Viu, YouTube, NordVpn, Disney+ Hotstar, dll✨

✓legal
✓trusted
✓full garansi

payment 💸 : ovo, dana, gopay, shopeepay, bca

t. jual netflix antihold spotify viu youtube iflix zonaba zonajajan zonauang ",1
185,"❗OPEN ORDER❗
apps premium
📌Netflix, Spotify, Viu, YouTube, NordVpn, Disney+ Hotstar, dll✨

✓legal
✓trusted
✓full garansi

payment 💸 : ovo, dana, gopay, shopeepay, bca

t. jual netflix antihold spotify viu youtube iflix zonaba zonajajan zonauang ",1
186,"❗OPEN ORDER❗
apps premium
📌Netflix, Spotify, Viu, YouTube, NordVpn, Disney+ Hotstar, dll✨

✓legal
✓trusted
✓full garansi

payment 💸 : ovo, dana, gopay, shopeepay, bca

t. jual netflix antihold spotify viu youtube iflix zonaba zonajajan zonauang ",1
187,"❗OPEN ORDER❗
apps premium
📌Netflix, Spotify, Viu, YouTube, NordVpn, Disney+ Hotstar, dll✨

✓legal
✓trusted
✓full garansi

payment 💸 : ovo, dana, gopay, shopeepay, bca

t. jual netflix antihold spotify viu youtube iflix zonaba zonajajan zonauang ",1
188,,1
189,,1
190, ,1
191,"23 ❗READY❗
PROMO!!! NETFLIX SHARING 1 BULAN 30K AJA FREE IFLIX/VIU 1 BULAN (BISA MILIH MAU FREE YANG MANA)

✓legal
✓trusted
✓full garansi

payment 💸 : ovo, dana, gopay, shopeepay, bca ",1
192," aku jual kak, bsa diliat dlu pl nya ",1
193, ,1
194," yuk, diliat dlu pl nya ",1
195,"1 UPDATED PRICELIST‼️‼️

NETFLIX 1 MONTH SOLO FULL WARRANTY - 200 PHP

NETFLIX 1 MONTH SHARED FULL WARRANTY - 55 PHP

➡️LESS HOLD/WIPEOUT
➡️PRIVATE DOMAIN
➡️LEGALLY PAID
➡️GC METHOD",1
196," _nobodyyyyy _ UPDATED PRICELIST‼️‼️

NETFLIX 1 MONTH SOLO FULL WARRANTY - 200 PHP

NETFLIX 1 MONTH SHARED FULL WARRANTY - 55 PHP

➡️LESS HOLD/WIPEOUT
➡️PRIVATE DOMAIN
➡️LEGALLY PAID
➡️GC METHOD",1
197,"_ _nobodyyyyy UPDATED PRICELIST‼️‼️

NETFLIX 1 MONTH SOLO FULL WARRANTY - 200 PHP

NETFLIX 1 MONTH SHARED FULL WARRANTY - 55 PHP

➡️LESS HOLD/WIPEOUT
➡️PRIVATE DOMAIN
➡️LEGALLY PAID
➡️GC METHOD",1
198," UPDATED PRICELIST‼️‼️

NETFLIX 1 MONTH SOLO FULL WARRANTY - 200 PHP

NETFLIX 1 MONTH SHARED FULL WARRANTY - 55 PHP

➡️LESS HOLD/WIPEOUT
➡️PRIVATE DOMAIN
➡️LEGALLY PAID
➡️GC METHOD",1
199," UPDATED PRICELIST‼️‼️

NETFLIX 1 MONTH SOLO FULL WARRANTY - 200 PHP

NETFLIX 1 MONTH SHARED FULL WARRANTY - 55 PHP

➡️LESS HOLD/WIPEOUT
➡️PRIVATE DOMAIN
➡️LEGALLY PAID
➡️GC METHOD",1
200,"22 UPDATED PRICELIST‼️‼️

NETFLIX 1 MONTH SOLO FULL WARRANTY - 200 PHP

NETFLIX 1 MONTH SHARED FULL WARRANTY - 55 PHP

➡️LESS HOLD/WIPEOUT
➡️PRIVATE DOMAIN
➡️LEGALLY PAID
➡️GC METHOD

SUPER LEGIT",1
201,"UPDATED PRICELIST‼️‼️

NETFLIX 1 MONTH SOLO FULL WARRANTY - 200 PHP

NETFLIX 1 MONTH SHARED FULL WARRANTY - 55 PHP

➡️LESS HOLD/WIPEOUT
➡️PRIVATE DOMAIN
➡️LEGALLY PAID
➡️GC METHOD",1
202,"UPDATED PRICELIST‼️‼️

NETFLIX 1 MONTH SOLO FULL WARRANTY - 200 PHP

NETFLIX 1 MONTH SHARED FULL WARRANTY - 55 PHP",1
203,super inactive ko na dito aaa :((,1
204,✨ LOOKING FOR ACTIVE RESELLERS ✨,1
205,"ONHAND SPOTIFY PREMIUM 3 MONTHS 

➡️ 55 PHP",1
206,"— PRICELIST—

✨NETFLIX PREMIUM SOLO✨

•1 MONTH NO WARRANTY - 100 PHP
•1 MONTH FULL WARRANTY - 230 PHP
•3 MONTHS FULL WARRANTY - 700 PHP

✨NETFLIX PREMIUM SHARED✨

•1 MONTH FULL WARRANTY -  80 PHP
•3 MONTHS FULL WARRANTY - 210 PHP

💵MOP: GCASH &amp; PAYMAYA/ GLOBELOAD + 40",1
207,"SELLING NETFLIX SOLO AND SHARED ACCOUNTS‼️‼️

1 MONTH SOLO-190 PHP 
1 MONTH SHARED- 55 PHP

  ✓ Full Warranty
  ✓ LESS Hold/Wipe Out
  ✓ Private Domain
  ✓ Legally Paid

📩 DM TO AVAIL",1
208," SELLING NETFLIX SOLO AND SHARED ACCOUNTS‼️‼️

SOLO-190 PHP 
SHARED- 55 PHP

  ✓ Full Warranty
  ✓ LESS Hold/Wipe Out
  ✓ Private Domain
  ✓ Legally Paid

📩 DM TO AVAIL",1
209,"_ SELLING NETFLIX SOLO AND SHARED ACCOUNTS‼️‼️

SOLO-190 PHP 
SHARED- 55 PHP

  ✓ Full Warranty
  ✓ LESS Hold/Wipe Out
  ✓ Private Domain
  ✓ Legally Paid

📩 DM TO AVAIL",1
210,need CV tsel ke dana ada ga 🥺,1
211," kakak td nanya soal disney + ya kak? bisa kok kak, tapi ga tau knp ini aku ga bisa bls dm kakak 😭🙏🏻",1
212,"aku open ya hari ini 🥺 selain app premium ada pulsa tsel juga yaa !!
•
• 
JUAL APP PREMIUM DAN PULSA MURAH ❗️
- netflix
- viu
- wattpad
- disney + hotstar
- youtube premium
- spotify
- apple music
- pulsa tsel ( limited ❗️ )

payment : dana/gopay/ovo
order atau nanya”? dm 📩 ",1
213,"jual pulsa tsel murah ❗️❗️
•
•
wah kapan lagi ini bisa beli pulsa murah begini, ayo buruan soalnya ini terbatas banget 🥺  yang mau bisa 
langsung dm ya 📩 ",1
